10-04-2024 17:51:55 RAM 9286/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,2%@729,0%@729,0%@729,4%@2201,2%@2201,0%@2201,100%@2201,3%@729,2%@729,2%@729,4%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.875C Tboard@36C SOC2@43.906C Tdiode@37.25C SOC0@44.531C CV1@-256C GPU@-256C tj@47.875C SOC1@43.968C CV2@-256C
10-04-2024 17:51:56 RAM 9293/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,4%@729,1%@729,2%@729,4%@2201,1%@2201,0%@2201,100%@2201,5%@729,3%@729,2%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.843C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.562C CV1@-256C GPU@-256C tj@48.031C SOC1@44.031C CV2@-256C
10-04-2024 17:51:57 RAM 9300/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,5%@729,0%@729,3%@729,4%@2201,1%@2201,0%@2201,100%@2201,4%@729,2%@729,3%@729,4%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.906C Tboard@36C SOC2@43.906C Tdiode@37.25C SOC0@44.562C CV1@-256C GPU@-256C tj@47.906C SOC1@44.031C CV2@-256C
10-04-2024 17:51:58 RAM 9306/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,1%@729,5%@729,1%@729,3%@2201,1%@2201,1%@2201,100%@2201,3%@729,5%@729,3%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.781C Tboard@36C SOC2@43.906C Tdiode@37.5C SOC0@44.5C CV1@-256C GPU@-256C tj@48.031C SOC1@44.031C CV2@-256C
10-04-2024 17:51:59 RAM 9311/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,5%@729,1%@729,1%@729,6%@2201,0%@2201,0%@2201,100%@2201,1%@729,2%@729,2%@729,3%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.843C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.5C CV1@-256C GPU@-256C tj@47.843C SOC1@44.031C CV2@-256C
10-04-2024 17:52:00 RAM 9317/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,2%@729,4%@729,2%@729,3%@2201,0%@2201,0%@2201,100%@2201,2%@729,6%@729,1%@729,3%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.812C Tboard@36C SOC2@43.906C Tdiode@37.25C SOC0@44.531C CV1@-256C GPU@-256C tj@48.25C SOC1@43.812C CV2@-256C
10-04-2024 17:52:01 RAM 9330/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,6%@729,3%@729,3%@729,1%@2201,2%@2201,0%@2201,100%@2201,4%@729,1%@729,0%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.968C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.562C CV1@-256C GPU@-256C tj@47.812C SOC1@43.843C CV2@-256C
10-04-2024 17:52:02 RAM 9342/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,6%@729,3%@729,4%@729,1%@2201,3%@2201,0%@2201,100%@2201,2%@729,2%@729,0%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.343C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.625C CV1@-256C GPU@-256C tj@48.343C SOC1@43.875C CV2@-256C
10-04-2024 17:52:03 RAM 9346/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,4%@729,8%@729,1%@729,1%@2201,2%@2201,0%@2201,100%@2201,1%@729,1%@729,1%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.031C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.593C CV1@-256C GPU@-256C tj@47.718C SOC1@43.843C CV2@-256C
10-04-2024 17:52:04 RAM 9352/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,3%@729,8%@729,2%@729,2%@2201,4%@2201,0%@2201,100%@2201,3%@729,1%@729,2%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.718C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.718C CV1@-256C GPU@-256C tj@47.718C SOC1@43.875C CV2@-256C
10-04-2024 17:52:05 RAM 9363/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,4%@729,4%@729,3%@729,2%@2201,3%@2201,0%@2201,100%@2201,1%@729,1%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.125C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.437C CV1@-256C GPU@-256C tj@47.812C SOC1@43.812C CV2@-256C
10-04-2024 17:52:06 RAM 9372/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,4%@729,5%@729,0%@729,1%@2201,2%@2201,0%@2201,100%@2201,4%@729,1%@729,1%@729,5%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.781C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.468C CV1@-256C GPU@-256C tj@47.781C SOC1@43.843C CV2@-256C
